,A,B,C,D
2000-01-01,1.339091,-0.163643,-0.646443,1.041233
2000-01-02,-0.774984,0.137034,-0.882716,-2.253382
2000-01-03,-0.921037,-0.482943,-0.4171,0.478638
2000-01-04,-1.738808,-0.072973,0.056517,0.015085
2000-01-05,-0.90598,1.778576,0.381918,0.291436
2000-01-06,2.151556,-0.1794,-2.188751,-0.566822
2000-01-07,-2.695073,-0.057346,-2.185241,1.215392
2000-01-08,1.195809,-0.494073,0.334982,2.098418
2000-01-09,-2.834646,-2.726116,-2.994625,-0.518748
2000-01-10,-1.54831,0.954699,-0.705835,-2.416908
2000-01-11,1.775326,-2.319959,0.568592,1.437295
2000-01-12,1.434537,1.338132,2.809471,-1.676854
2000-01-13,-2.892346,2.79434,0.642365,1.964185
2000-01-14,0.50111,0.047862,0.999029,-0.603919
2000-01-15,0.378565,0.00385,-2.036991,1.631708
2000-01-16,1.090471,-1.14127,-0.218948,0.163124
2000-01-17,0.494843,2.102328,-1.362853,1.939828
2000-01-18,1.119062,-0.166261,-0.411159,-2.250282
2000-01-19,1.558966,2.468789,1.055624,2.903846
2000-01-20,-0.554503,-2.014763,-2.573032,0.788096
2000-01-21,-1.169342,-1.392216,0.722825,-2.805379
2000-01-22,-2.44651,2.278267,-1.207908,-1.617124
2000-01-23,0.043306,-1.612695,0.274847,-1.455216
2000-01-24,0.10136,0.062014,-2.518169,0.760623
2000-01-25,2.473658,2.81026,1.459935,-0.368132
2000-01-26,-2.513452,-2.48471,2.81514,-0.435702
2000-01-27,-0.336726,2.65545,-0.645353,2.14932
2000-01-28,-0.926404,0.192001,-2.712388,-2.74645
2000-01-29,-2.809867,-2.175996,0.589172,-0.723693
2000-01-30,1.234001,-2.74749,-2.814828,-1.428218
2000-01-31,0.388856,1.727183,-1.144762,2.257267
2000-02-01,-2.153592,2.466877,0.179565,2.540915
2000-02-02,-1.582032,0.551499,-1.529949,0.302134
2000-02-03,-1.594437,2.575861,1.429103,-1.055188
2000-02-04,0.572654,0.737113,-1.730293,2.518188
