,Genero,Casado,Age,Graduado,Profesion,Work_Experience,Spending_Score,Family_Size,Categoria_economica
0,0,1,0.02506593961499208,1,6,1,1,1,1
1,1,1,0.02506593961499208,1,0,0,0,2,1
2,0,0,0.009727081044623793,1,6,1,1,3,0
3,0,1,0.021698873099545383,0,2,0,1,1,1
4,1,0,0.011597673553205292,0,8,1,1,6,1
5,1,1,0.021698873099545383,1,4,1,2,4,1
6,1,1,0.018331806584098685,1,5,12,1,1,0
7,1,1,0.01234591055663789,1,1,13,1,2,0
8,0,0,0.01346826606178679,1,1,5,1,2,1
9,1,0,0.011597673553205292,0,8,9,1,8,0
10,1,0,0.01309414756007049,1,1,0,1,1,1
11,0,1,0.015712977072084588,0,2,1,1,2,0
12,0,1,0.010475318048056393,1,1,8,1,2,0
13,0,0,0.01758356958066609,1,1,4,1,1,1
14,0,0,0.010101199546340093,1,1,14,1,3,0
15,1,1,0.01496474006865199,0,6,8,1,1,0
16,1,1,0.01533885857036829,1,1,0,2,4,1
17,0,0,0.016835332577233488,1,6,1,1,1,0
18,0,1,0.022821228604694283,0,1,1,2,2,1
19,1,1,0.01496474006865199,1,1,1,1,1,0
20,1,1,0.028433006130438778,0,7,1,1,1,0
21,1,1,0.011971792054921592,1,1,14,2,2,1
22,1,1,0.020950636096112786,1,0,1,0,2,0
23,1,1,0.022072991601261683,1,0,7,0,2,0
24,1,0,0.009352962542907493,1,4,0,1,2,0
25,1,1,0.011597673553205292,1,2,0,2,2,0
26,1,0,0.010101199546340093,0,1,8,1,4,0
27,1,1,0.021324754597829083,1,1,0,2,4,1
28,0,1,0.019080043587531285,1,4,8,2,2,0
29,0,1,0.01758356958066609,0,1,0,2,5,1
30,0,0,0.01234591055663789,0,5,0,1,3,1
31,1,1,0.019080043587531285,0,1,4,1,3,0
32,1,1,0.023569465608126883,1,1,8,1,1,0
33,1,1,0.01309414756007049,0,4,8,2,4,1
34,0,0,0.0071082515326096945,0,7,1,1,3,0
35,1,0,0.01459062156693569,1,4,0,1,3,1
36,1,1,0.020576517594396486,0,1,0,1,1,1
37,1,1,0.02544005811670838,0,3,1,0,7,1
38,1,1,0.019454162089247586,0,1,0,1,3,0
39,1,1,0.014216503065219389,0,3,0,0,5,0
40,0,1,0.01309414756007049,1,8,10,1,2,1
41,0,0,0.01459062156693569,1,1,0,1,1,0
42,1,1,0.01346826606178679,0,3,8,2,4,1
43,0,1,0.013842384563503089,1,1,1,0,2,0
44,1,1,0.020576517594396486,0,3,1,0,4,1
45,0,1,0.01758356958066609,0,6,9,2,4,1
46,0,1,0.010101199546340093,0,7,1,1,2,0
47,0,1,0.010475318048056393,1,6,0,1,2,0
48,1,1,0.01459062156693569,1,3,9,0,5,0
49,0,1,0.018705925085814985,1,6,1,0,2,1
50,1,0,0.011223555051488992,0,3,5,1,5,0
51,0,1,0.013842384563503089,1,1,4,1,4,1
52,0,1,0.01459062156693569,1,6,0,2,2,0
53,0,1,0.016087095573800888,0,6,0,2,5,1
54,0,1,0.010475318048056393,0,6,9,2,2,0
55,1,1,0.02992948013730398,1,0,1,1,1,1
56,1,1,0.02506593961499208,0,0,0,0,9,0
57,0,0,0.009727081044623793,0,6,0,1,1,0
58,0,1,0.016087095573800888,1,1,2,2,2,1
59,0,1,0.02918124313387138,1,0,1,0,2,1
