,ID,Genero,Casado,Age,Graduado,Profesion,Work_Experience,Spending_Score,Family_Size,Categoria_economica
1,462643,Femenino,Si,38,Si,Ingeniero,,Promedio,3.0,A
2,466315,Femenino,Si,67,Si,Ingeniero,1.0,Bajo,1.0,B
3,461735,Masculino,Si,67,Si,Abogado,0.0,Alto,2.0,B
4,462669,Femenino,Si,40,Si,Entretenimiento,,Alto,6.0,A
10,464041,Femenino,No,26,Si,Ingeniero,1.0,Bajo,3.0,A
13,459573,Masculino,Si,70,No,Abogado,,Bajo,1.0,A
14,460849,Femenino,Si,58,No,Doctor,0.0,Bajo,1.0,B
17,461644,Masculino,No,31,No,Personal de salud,1.0,Bajo,6.0,B
18,466772,Masculino,Si,58,Si,Entretenimiento,1.0,Promedio,4.0,B
20,466084,Masculino,Si,49,Si,Homemaker,12.0,Bajo,1.0,A
22,465602,Masculino,Si,33,Si,Artista,13.0,Bajo,2.0,A
23,459168,Femenino,No,36,Si,Artista,5.0,Bajo,2.0,B
24,461021,Femenino,,58,No,Ejecutivo,1.0,Promedio,3.0,B
26,467604,Masculino,No,31,No,Personal de salud,9.0,Bajo,8.0,A
28,465882,Masculino,No,35,Si,Artista,0.0,Bajo,1.0,B
31,462216,Femenino,Si,42,No,Doctor,1.0,Bajo,2.0,A
38,465891,Femenino,Si,28,Si,Artista,8.0,Bajo,2.0,A
40,462044,Femenino,No,47,Si,Artista,4.0,Bajo,1.0,B
42,464590,Femenino,No,27,Si,Artista,14.0,Bajo,3.0,A
44,466152,Masculino,Si,40,No,Ingeniero,8.0,Bajo,1.0,A
45,463156,Femenino,Si,79,No,Abogado,,Alto,2.0,A
46,465729,Masculino,Si,41,Si,Artista,0.0,Promedio,4.0,B
47,462384,Femenino,No,29,Si,Personal de salud,,Bajo,1.0,A
49,464191,Femenino,No,45,Si,Ingeniero,1.0,Bajo,1.0,A
50,462078,Femenino,Si,61,No,Artista,1.0,Promedio,2.0,B
52,461270,Masculino,Si,40,Si,Artista,1.0,Bajo,1.0,A
54,464961,Masculino,Si,76,No,Marketing,1.0,Bajo,1.0,A
55,462110,Masculino,Si,32,Si,Artista,14.0,Promedio,2.0,B
63,464535,Masculino,Si,56,Si,Abogado,1.0,Alto,2.0,A
64,463108,Masculino,Si,59,Si,Abogado,7.0,Alto,2.0,A
65,461356,Masculino,No,25,Si,Entretenimiento,0.0,Bajo,2.0,A
66,464570,Masculino,Si,31,Si,Doctor,0.0,Promedio,2.0,A
67,464580,Masculino,No,27,No,Artista,8.0,Bajo,4.0,A
68,465233,Masculino,Si,57,Si,Artista,0.0,Promedio,4.0,B
69,467208,Femenino,Si,39,Si,Homemaker,,Alto,2.0,A
71,460219,Femenino,Si,51,Si,Entretenimiento,8.0,Promedio,2.0,A
72,460877,Femenino,Si,47,No,Artista,0.0,Promedio,5.0,B
75,463691,Femenino,No,33,No,Homemaker,0.0,Bajo,3.0,B
77,463952,Masculino,Si,51,No,Artista,4.0,Bajo,3.0,A
82,466938,Masculino,Si,63,Si,Artista,8.0,Bajo,1.0,A
83,460671,Masculino,Si,35,No,Entretenimiento,8.0,Promedio,4.0,B
84,462204,Femenino,No,19,No,Marketing,1.0,Bajo,3.0,A
90,467434,Masculino,No,39,Si,Entretenimiento,0.0,Bajo,3.0,B
94,467066,Masculino,Si,55,No,Artista,0.0,Bajo,1.0,B
101,466911,Masculino,Si,68,No,Ejecutivo,1.0,Alto,7.0,B
102,462806,Masculino,Si,52,No,Artista,0.0,Bajo,3.0,A
103,463426,Masculino,Si,38,No,Ejecutivo,0.0,Alto,5.0,A
104,464065,Femenino,Si,35,Si,Personal de salud,10.0,Bajo,2.0,B
110,459749,Masculino,Si,59,Si,Entretenimiento,,Bajo,4.0,A
111,464406,Femenino,No,39,Si,Artista,0.0,Bajo,1.0,A
112,467758,Femenino,Si,50,Si,Doctor,1.0,Bajo,,B
115,461177,Masculino,Si,36,No,Ejecutivo,8.0,Promedio,4.0,B
119,462332,Femenino,Si,37,Si,Artista,1.0,Alto,2.0,A
121,461011,Masculino,Si,55,No,Ejecutivo,1.0,Alto,4.0,B
122,464749,Femenino,Si,47,No,Ingeniero,9.0,Promedio,4.0,B
125,464524,Femenino,Si,27,No,Marketing,1.0,Bajo,2.0,A
126,466295,Femenino,Si,42,No,Ingeniero,0.0,Bajo,,A
128,467857,Femenino,Si,28,Si,Ingeniero,0.0,Bajo,2.0,A
130,465215,Masculino,Si,39,Si,Ejecutivo,9.0,Alto,5.0,A
133,459478,Masculino,Si,46,Si,Artista,,Bajo,1.0,A
134,460723,Femenino,Si,50,Si,Ingeniero,1.0,Alto,2.0,B
135,459853,Masculino,No,30,No,Ejecutivo,5.0,Bajo,5.0,A
136,459390,Femenino,No,41,No,Artista,,Bajo,2.0,B
139,462008,Femenino,Si,37,Si,Artista,4.0,Bajo,4.0,B
140,459750,Femenino,Si,39,Si,Ingeniero,0.0,Promedio,2.0,A
143,465656,Masculino,Si,78,No,Abogado,1.0,Bajo,,B
144,465395,Femenino,Si,43,No,Ingeniero,0.0,Promedio,5.0,B
146,464904,Femenino,Si,28,No,Ingeniero,9.0,Promedio,2.0,A
147,461740,Masculino,Si,80,Si,Abogado,1.0,Bajo,1.0,B
150,464972,Masculino,Si,67,No,Abogado,0.0,Alto,9.0,A
151,467959,Femenino,No,26,No,Ingeniero,0.0,Bajo,1.0,A
153,460043,Femenino,Si,43,Si,Artista,2.0,Promedio,2.0,B
158,466495,Femenino,Si,78,Si,Abogado,1.0,Alto,2.0,B
162,462813,Masculino,Si,37,No,Ejecutivo,0.0,Promedio,5.0,A
168,465301,Femenino,Si,40,Si,Artista,0.0,Bajo,3.0,B
170,459012,Masculino,Si,48,Si,Artista,3.0,Bajo,5.0,B
172,459420,Femenino,Si,70,Si,Abogado,0.0,Bajo,2.0,B
173,464166,Masculino,No,31,Si,Artista,5.0,Bajo,2.0,B
179,463991,Femenino,No,31,Si,Ingeniero,8.0,Bajo,1.0,A
181,462594,Masculino,Si,52,No,Entretenimiento,,Promedio,5.0,B
182,462206,Femenino,No,29,Si,Artista,,Bajo,1.0,B
184,467934,Femenino,No,40,Si,Artista,1.0,Bajo,1.0,A
186,459576,Femenino,Si,85,No,Abogado,,Bajo,,A
187,467910,Femenino,No,21,No,Doctor,1.0,Bajo,3.0,A
189,460263,Masculino,Si,40,Si,Artista,0.0,Bajo,2.0,B
190,459340,Masculino,Si,53,Si,Artista,1.0,Promedio,3.0,B
195,466544,Masculino,Si,41,Si,Ejecutivo,1.0,Promedio,3.0,A
196,463610,Femenino,Si,31,Si,Artista,0.0,Promedio,2.0,A
197,465539,Femenino,Si,49,Si,Artista,1.0,Alto,5.0,B
198,459823,Masculino,Si,67,Si,Ejecutivo,1.0,Bajo,2.0,A
199,467614,Masculino,Si,35,No,Artista,4.0,Promedio,2.0,B
203,460022,Femenino,Si,39,Si,Personal de salud,4.0,Bajo,2.0,A
204,459929,Masculino,Si,63,Si,Entretenimiento,0.0,Bajo,2.0,A
208,461513,Masculino,No,33,Si,Doctor,0.0,Bajo,2.0,B
209,464761,Femenino,Si,50,No,Ingeniero,,Promedio,4.0,B
210,466236,Femenino,Si,69,Si,Ingeniero,0.0,Bajo,2.0,B
211,459664,Masculino,No,37,Si,Artista,2.0,Bajo,1.0,B
217,462691,Masculino,Si,25,No,Doctor,,Promedio,2.0,B
218,462934,Masculino,Si,56,No,Ejecutivo,,Alto,2.0,A
219,465837,Masculino,No,62,Si,,0.0,Bajo,1.0,A
220,464613,Femenino,No,35,,Artista,0.0,Bajo,3.0,B
221,467515,Masculino,Si,28,Si,Ingeniero,0.0,Promedio,2.0,A
222,463429,Femenino,No,28,Si,Artista,7.0,Bajo,3.0,A
225,461825,Femenino,No,56,No,Ingeniero,,Bajo,1.0,A
226,467271,Masculino,Si,45,Si,Artista,4.0,Promedio,4.0,B
227,465634,Masculino,No,25,Si,Personal de salud,1.0,Bajo,4.0,B
232,462036,Femenino,Si,67,Si,Abogado,0.0,Alto,2.0,B
234,460448,Femenino,No,38,Si,Artista,9.0,Bajo,1.0,A
